Utterance,ExpectedResult,BusinessArea,LuisQnA
How can I develop my skill,Accenture provides you multiple opportunities to build your expertise. Some of the key ways to do this are -1. Identify opportunities for growth and focus on skill development in that area. You can have a meaningful conversation with your supervisor and career counselor and supervisor to share your aspirations and seek their support on taking the next steps.2. Opt for formal trainings and chart your learning plan that will help you with skill building and for practical experience use your learnings on your job assignments.3. Make sure you document your Career Development as priority on Performance Achievement tool.,CareerDevelopment,QnA
how can I make myself an expert,Accenture provides you multiple opportunities to build your expertise. Some of the key ways to do this are -1. Identify opportunities for growth and focus on skill development in that area. You can have a meaningful conversation with your supervisor and career counselor and supervisor to share your aspirations and seek their support on taking the next steps.2. Opt for formal trainings and chart your learning plan that will help you with skill building and for practical experience use your learnings on your job assignments.3. Make sure you document your Career Development as priority on Performance Achievement tool.,CareerDevelopment,QnA
does the organization invest on employee career,Accenture provides you multiple opportunities to build your expertise. Some of the key ways to do this are -1. Identify opportunities for growth and focus on skill development in that area. You can have a meaningful conversation with your supervisor and career counselor and supervisor to share your aspirations and seek their support on taking the next steps.2. Opt for formal trainings and chart your learning plan that will help you with skill building and for practical experience use your learnings on your job assignments.3. Make sure you document your Career Development as priority on Performance Achievement tool.,CareerDevelopment,QnA
Who can help  with the Months at Level details ,The Month at Level data for an employee is also available at Mylearnings. Log on to mylearning.accenture.com go to my profile and you can check your months at level.In case of discrepancy in MAL data please reach out to your People Advisor.,CareerDevelopment,QnA
how can I find my Months at Level detail ,The Month at Level data for an employee is also available at Mylearnings. Log on to mylearning.accenture.com go to my profile and you can check your months at level.In case of discrepancy in MAL data please reach out to your People Advisor.,CareerDevelopment,QnA
I need to know my Moths at Level detail,The Month at Level data for an employee is also available at Mylearnings. Log on to mylearning.accenture.com go to my profile and you can check your months at level.In case of discrepancy in MAL data please reach out to your People Advisor.,CareerDevelopment,QnA
How will I know if my Probation Period is confirmed? ,The organization does not issue a probation confirmation mail or letter at the end of the probation period. Unless otherwise communicated by your Supervisor/HR Representative; your employment is considered to be confirmed post completion of 6 months.,CareerDevelopment,QnA
when will I know that my probation has been confirmed?,The organization does not issue a probation confirmation mail or letter at the end of the probation period. Unless otherwise communicated by your Supervisor/HR Representative; your employment is considered to be confirmed post completion of 6 months.,CareerDevelopment,QnA
how will I know that my probation has been confirmed?,The organization does not issue a probation confirmation mail or letter at the end of the probation period. Unless otherwise communicated by your Supervisor/HR Representative; your employment is considered to be confirmed post completion of 6 months.,CareerDevelopment,QnA
will there be any letter or message sent to me if probation has been confirmed?,The organization does not issue a probation confirmation mail or letter at the end of the probation period. Unless otherwise communicated by your Supervisor/HR Representative; your employment is considered to be confirmed post completion of 6 months.,CareerDevelopment,QnA
should I need to reach out to supervisor or HR rep to know what is the status on my probation?,The organization does not issue a probation confirmation mail or letter at the end of the probation period. Unless otherwise communicated by your Supervisor/HR Representative; your employment is considered to be confirmed post completion of 6 months.,CareerDevelopment,QnA
What is the timeline to re-activate a candidate profile?,A candidate can re-apply after 6months; from the date of the last interview.,Referral,QnA
when will I receive my RB?,The ER bonus will be paid out subject to the employee being active and onboard in Accenture on the date of disbursement of this payout. ,Referral,QnA
can referral resignation leads to returning RB?,Employee Referral awards granted will not be recovered if the referred candidate leaves the company.,Referral,QnA
What is the procedure to track my referral? ,You can track your referrals on https://employeereferrals.accenture.com. If your referral is hired; you will receive a confirmation e-mail that will include details regarding your referral incentive; if applicable.,Referral,QnA
when should I expected referral bonus payment,The referral bonus is paid along with the salary; in the subsequent month of the referred candidate's joining.,Referral,QnA
What do you need to do if status of the candidate is unavailable?. ,This could occur because of any one of the reasons mentioned below : 1.The details of recently referred candidate reflect on the global ER application after 24 hours. 2.If there is a change in the Enterprise Id by the referrer; then his/her referrals’ details will not be shown on the application screen.Apart from these if you are still facing any issues; please raise a request on https://myrequests.accenture.com,Referral,QnA
What are the guidelines for hiring candidates who are part time graduates?,We do hire candidates with part time graduation qualification; provided the candidate has at least 15 years of experience.,Referral,QnA
Referral portal page not opening ,In case you are facing this error; please log in using Internet explorer 5.0 & above and refresh the page. If the issue still persists; write to idc.talentscout@accenture.com,Referral,QnA
Where can I get answers to my Employee referral program queries?,You can contact Talent Scout helpdesk by raising a request on https://myrequests.accenture.com. To raise a request; follow these steps:a. Log in to https://myrequests.accenture.com.b. Under ‘Create Request’; click on ‘Ask HR a Question?’.c. Under ‘Category’; choose Recruitment Inquiry.d. Under ‘Subcategory’; choose the category applicable.e. Fill in the details of your request and click ‘submit’.The SLA to get a response from Talent Scout helpdesk is 3 working days.OrYou can join the TalentScout meeting via Skype; the call is scheduled daily from 12:00 noon to 1:00 p.m. For dial-in details refer to the weekly mailer from idc.talentscout@accenture.com .,Referral,QnA
What is the procedure to refer ex-employees of Accenture?,o refer an ex-employee; you have to upload the resume to https://employeereferralprogram.accenture.com/#/index. The referral process is same for all candidates.,Referral,QnA
What is the process to refer a candidate from his/her previous organization if he/she has signed any agreement?,Employees may not refer candidates from a previous employer if doing so would violate a non-solicitation/non-compete agreement.If it is a service agreement that a candidate has with his / her current organization; then you can refer the candidate; however; the candidate will need to comply and complete all required formalities in case they leave before the specific time period as per the agreement and before formally joining Accenture. ,Referral,QnA
"What is the general timeline employee referral process cycle take (from referral to hire, where applicable)?",The processing time for a referral can be impacted by multiple things and varies from country to country. However; on an average; the process can take about 6-8 weeks.,Referral,QnA
What do you need to do if you are not sure about the skill during upload?,If you are not sure about referring candidate's skills you can send their profile to idc.talentscout@accenture.com.,Referral,QnA
how to search for open roles for referring,"1.The search engine on https://employeereferrals.accenture.com works exactly like Google. You can search for open demands across the globe by entering - [group title] [location] [level] in the search area. For example; search like: “SAP Consultant Spain” or ""Japan Oracle"". You can  also sort the search column by relevance and add/ remove keywords to your search to get a different set of results. or2.You can get details of open position by reading the weekly mail communication from TalentScout IDC on your accenture mail account.",Referral,QnA
"What are the tools, escalation route, terms and conditions for referring an candidate ?",To refer a candidateStep 1: Log on to https://employeereferrals.accenture.com and refer to the attachment for the job openings.Step 2: Search for open demands across the globe by entering - [group title] [location] [level] in the search area.Step 3: Select the position you want to refer and upload the profile. Once the profile is successfully uploaded – you would get an auto generated mail with a unique CID number for the candidate.  For any queries; related to CID or an opening you have to raise a request on https://myrequests.accenture.com under HR questions category. For details on terms and conditions; please refer to Policy 1075 on employee referral program.,Referral,QnA
What is the  interview process and timelines? ,There would be two mandatory rounds of interview; comprising of Skill and HR interview. However; based on project requirement /client requirement the recruiter can schedule additional rounds of interviews.There is no minimum amount of  time that an interviewer is required to spend on an interview discussion. ,Referral,QnA
how to share non-selection news to the referral?,Your referral will receive the communication and feedback on his candidature from the concerned recruiter directly when the process is completed. ,Referral,QnA
Will I get notification on my referral CID deletion?,If you have referred your candidate against a valid demand the CID will remain active in database for 1 year. The resumes do get archived in the system after 6 months and after 1 year; the resume will get deleted from the database. The referrer will be notified by an auto mailer when this happens.,Referral,QnA
can I share project and client detail with my referral before interview?,Avoid setting false expectation with your referral by discussing on career levels; compensation and benefits. A recruiter will discuss those details with your referral based on the recruiter’s assessment of your referral’s work history; skills and experience.,Referral,QnA
what should I tell my referral before an interview?,Thank you for being the brand ambassador for Accenture. When you are talking to candidates about Accenture share your experience on how Accenture offers challenging and interesting career and growth opportunities to its employees.You may want to share that;Accenture is a global management consulting; technology services and outsourcing company. Committed to delivering innovation; Accenture collaborates with its clients to help them become high-performance businesses and organizations•Our vision is to become one of the world's leading companies; bringing innovations to improve the way the world works and lives.•Our core values shape the culture and define the character of our company. They guide how we behave and make decisions.•Our Code of Business Ethics reinforces our core values and drives our culture of compliance; ethical decision making and accountability.•We are one of the world's top 50 brands a brand synonymous with high performance.•Our clients are the world’s leading companies; organizations and government agencies in more than 120 countries.•Regardless of your workforce; level or role; Accenture is committed to helping you accelerate your personal and professional development.•Accenture operates on the principles of meritocracy; recognizing and rewarding high performance.,Referral,QnA
what is PA?,Performance Achievement is our revolutionary approach to performance management which involves more ongoing; forward-looking conversations that focus on your strengths; your team; your progress and your career possibilities at Accenture. This new approach is hyper-personalized to support the rich diversity of our people and our five businesses. With Performance Achievement; you can expect to:Know yourself - You’ll have access to simple tools to tap into your natural strengths and recognize what you do best. You will discuss priorities—your areas of focus—with your team; supervisor and career counselor; and re-visit them frequently to measure your progress and keep yourself on track.Engage with your team - You’ll share and discuss priorities or create team-based action plans that get everyone involved and excited. Your team lead will send out an engagement survey as needed to better understand your team engagement. Your team strengths report will also be available. Take action to grow. You’ll access an on-demand tool to help track your individual achievements and provide you with valuable insight and direction. The focus will be on what impact you create and how you develop people and grow the business. Have meaningful conversations - All of these activities will be fueled by ongoing; meaningful conversations that you can have - with your supervisors; counselors; peers and mentors - that inform and inspire ,PA,QnA
performance achievement,Performance Achievement is our revolutionary approach to performance management which involves more ongoing; forward-looking conversations that focus on your strengths; your team; your progress and your career possibilities at Accenture. This new approach is hyper-personalized to support the rich diversity of our people and our five businesses. With Performance Achievement; you can expect to:Know yourself - You’ll have access to simple tools to tap into your natural strengths and recognize what you do best. You will discuss priorities—your areas of focus—with your team; supervisor and career counselor; and re-visit them frequently to measure your progress and keep yourself on track.Engage with your team - You’ll share and discuss priorities or create team-based action plans that get everyone involved and excited. Your team lead will send out an engagement survey as needed to better understand your team engagement. Your team strengths report will also be available. Take action to grow. You’ll access an on-demand tool to help track your individual achievements and provide you with valuable insight and direction. The focus will be on what impact you create and how you develop people and grow the business. Have meaningful conversations - All of these activities will be fueled by ongoing; meaningful conversations that you can have - with your supervisors; counselors; peers and mentors - that inform and inspire ,PA,QnA
what is know yourself?,Performance Achievement is our revolutionary approach to performance management which involves more ongoing; forward-looking conversations that focus on your strengths; your team; your progress and your career possibilities at Accenture. This new approach is hyper-personalized to support the rich diversity of our people and our five businesses. With Performance Achievement; you can expect to:Know yourself - You’ll have access to simple tools to tap into your natural strengths and recognize what you do best. You will discuss priorities—your areas of focus—with your team; supervisor and career counselor; and re-visit them frequently to measure your progress and keep yourself on track.Engage with your team - You’ll share and discuss priorities or create team-based action plans that get everyone involved and excited. Your team lead will send out an engagement survey as needed to better understand your team engagement. Your team strengths report will also be available. Take action to grow. You’ll access an on-demand tool to help track your individual achievements and provide you with valuable insight and direction. The focus will be on what impact you create and how you develop people and grow the business. Have meaningful conversations - All of these activities will be fueled by ongoing; meaningful conversations that you can have - with your supervisors; counselors; peers and mentors - that inform and inspire ,PA,QnA
what is priority?,Knowing your priorities will help you stay focused on the areas where you can make the greatest impact in your work; and sharing them with those you work with will help keep everyone aligned to what you need to achieve together as a team.You can add new or review existing priorities anytime during the performance year. To set priorities please log on to https://performance.accenture.com,PA,QnA
how do we set priority?,Knowing your priorities will help you stay focused on the areas where you can make the greatest impact in your work; and sharing them with those you work with will help keep everyone aligned to what you need to achieve together as a team.You can add new or review existing priorities anytime during the performance year. To set priorities please log on to https://performance.accenture.com,PA,QnA
am I suppose to share my priorities with other,Knowing your priorities will help you stay focused on the areas where you can make the greatest impact in your work; and sharing them with those you work with will help keep everyone aligned to what you need to achieve together as a team.You can add new or review existing priorities anytime during the performance year. To set priorities please log on to https://performance.accenture.com,PA,QnA
I donot know my strength,To take Gallup’s strength assessment please log on to (https://strengths.accenture.com).,PA,QnA
who can tell me my strength,To take Gallup’s strength assessment please log on to (https://strengths.accenture.com).,PA,QnA
how do we access strength,To take Gallup’s strength assessment please log on to (https://strengths.accenture.com).,PA,QnA
What is a meaningful conversation? ,"Meaningful conversations are future-focused; ongoing conversations about your engagement; performance and career goals; aligned with your passions and strengths; or any other topic relevant to you and your career. There are no rules or prescriptive topics to cover. Meaningful conversations should be about whatever is top of mind for you and/or your supervisor (or anyone else with whom you are talking). Other example topics include: leveraging your strengths in your current role/project; the impact you are having; skills you want to build; exploring a new role. We have adopted ""Talk"" mind set to achieve meaningful conversation. Talk stands for •Together: Together is sharing the conversation and not dominating it•Authentic: Means open; honest and encourages to talk•Listen and Learn: Listen and learn about who you are talking with before you share your opinion              •Keep it simple: It’s not a presentation so keep it simple.To know more about meaningful conversation please log on to https://connectedlearning.accenture.com/learningboard/meaningful-connections",PA,QnA
meaningful conversation,"Meaningful conversations are future-focused; ongoing conversations about your engagement; performance and career goals; aligned with your passions and strengths; or any other topic relevant to you and your career. There are no rules or prescriptive topics to cover. Meaningful conversations should be about whatever is top of mind for you and/or your supervisor (or anyone else with whom you are talking). Other example topics include: leveraging your strengths in your current role/project; the impact you are having; skills you want to build; exploring a new role. We have adopted ""Talk"" mind set to achieve meaningful conversation. Talk stands for •Together: Together is sharing the conversation and not dominating it•Authentic: Means open; honest and encourages to talk•Listen and Learn: Listen and learn about who you are talking with before you share your opinion              •Keep it simple: It’s not a presentation so keep it simple.To know more about meaningful conversation please log on to https://connectedlearning.accenture.com/learningboard/meaningful-connections",PA,QnA
future focused conversation,"Meaningful conversations are future-focused; ongoing conversations about your engagement; performance and career goals; aligned with your passions and strengths; or any other topic relevant to you and your career. There are no rules or prescriptive topics to cover. Meaningful conversations should be about whatever is top of mind for you and/or your supervisor (or anyone else with whom you are talking). Other example topics include: leveraging your strengths in your current role/project; the impact you are having; skills you want to build; exploring a new role. We have adopted ""Talk"" mind set to achieve meaningful conversation. Talk stands for •Together: Together is sharing the conversation and not dominating it•Authentic: Means open; honest and encourages to talk•Listen and Learn: Listen and learn about who you are talking with before you share your opinion              •Keep it simple: It’s not a presentation so keep it simple.To know more about meaningful conversation please log on to https://connectedlearning.accenture.com/learningboard/meaningful-connections",PA,QnA
how can I share my comments on PA on circle?,You will find useful information about Performance Achievement (PA) in the following sites:Informative Site: https://sites.accenture.com/Publishing/PerformanceAchievem ent/Pages/index.htmlSupport Site: https://support.accenture.com/applications/performanceachievement/ Pages/DefaultGlobal.aspx?rd=3&HP=1Circle: https://circles.accenture.com/follow.htm?id=1C14F861-86F2-4684 -91AE-27757DF30779Collections: https://collections.accenture.com/collection.aspx?b=412b66e0- 148e-e511-9729-0050568605feCareer Conection: https://careerconnection.accenture.com/manage/performanceachievementallYou can also watch an interactive video on PA here: https://mediaexchange.accentur e.com/media/t/0_b10vsdpm,PA,QnA
on circle how can I follow the latest happenings in PA area,You will find useful information about Performance Achievement (PA) in the following sites:Informative Site: https://sites.accenture.com/Publishing/PerformanceAchievem ent/Pages/index.htmlSupport Site: https://support.accenture.com/applications/performanceachievement/ Pages/DefaultGlobal.aspx?rd=3&HP=1Circle: https://circles.accenture.com/follow.htm?id=1C14F861-86F2-4684 -91AE-27757DF30779Collections: https://collections.accenture.com/collection.aspx?b=412b66e0- 148e-e511-9729-0050568605feCareer Conection: https://careerconnection.accenture.com/manage/performanceachievementallYou can also watch an interactive video on PA here: https://mediaexchange.accentur e.com/media/t/0_b10vsdpm,PA,QnA
performance achievement support site,You will find useful information about Performance Achievement (PA) in the following sites:Informative Site: https://sites.accenture.com/Publishing/PerformanceAchievem ent/Pages/index.htmlSupport Site: https://support.accenture.com/applications/performanceachievement/ Pages/DefaultGlobal.aspx?rd=3&HP=1Circle: https://circles.accenture.com/follow.htm?id=1C14F861-86F2-4684 -91AE-27757DF30779Collections: https://collections.accenture.com/collection.aspx?b=412b66e0- 148e-e511-9729-0050568605feCareer Conection: https://careerconnection.accenture.com/manage/performanceachievementallYou can also watch an interactive video on PA here: https://mediaexchange.accentur e.com/media/t/0_b10vsdpm,PA,QnA
performance achievement support site link,You will find useful information about Performance Achievement (PA) in the following sites:Informative Site: https://sites.accenture.com/Publishing/PerformanceAchievem ent/Pages/index.htmlSupport Site: https://support.accenture.com/applications/performanceachievement/ Pages/DefaultGlobal.aspx?rd=3&HP=1Circle: https://circles.accenture.com/follow.htm?id=1C14F861-86F2-4684 -91AE-27757DF30779Collections: https://collections.accenture.com/collection.aspx?b=412b66e0- 148e-e511-9729-0050568605feCareer Conection: https://careerconnection.accenture.com/manage/performanceachievementallYou can also watch an interactive video on PA here: https://mediaexchange.accentur e.com/media/t/0_b10vsdpm,PA,QnA
What is the Promotion criteria? Will moths at level be considered for promotion? ,Under Performance Achievement; promotions will continue to depend on individual readiness; talent needs of the business; and affordability.,PA,QnA
how are promotion decided?,Under Performance Achievement; promotions will continue to depend on individual readiness; talent needs of the business; and affordability.,PA,QnA
post PA what are changes in promotion guidelines,Under Performance Achievement; promotions will continue to depend on individual readiness; talent needs of the business; and affordability.,PA,QnA
promotion policy,Under Performance Achievement; promotions will continue to depend on individual readiness; talent needs of the business; and affordability.,PA,QnA
How many leaves I have availed this year?,Your current vacation balance is <vacation balance> hours. You can log on to https://portal.accenture.com/aboutMe > Check under Your Paid Time Off.,Leave,Luis
do I have any vacation balance left?,Hi <FullName>; currently you have <days>days excess leave balance beyond 20 days carried forward threshold.,Leave,Luis
How many days of leave I need to take to avoid lapsing of leave at the end of the financial year,Hi <FullName>; you have availed <x>days /<x>hours vacation this year.,Leave,Luis
Where Vacation Balance is shown?,Hi <FullName>; your current vacation balance as on <current date> is <x> days and <x>hours.,Leave,Luis
Where can I find my LoA details?,Hi <FullName>;his year you were on LoA for <x> days and <x>hours.,Leave,Luis
I want to know how many sick leave I have availved this month?,Hi <FullName>; you have availed <x>days /<x>hours sick leave this year.,Leave,Luis
who can tell me my current sick leave balance?,Hi <FullName>; your current sickleave balance as on <current date> is <x> days and <x>hours.,Leave,Luis
I have importan project deadlines I want to check  all team members leave balance before that,Yes;I can provide you the dataCan you provide the <FullName> details for your direct reportees?<FullName> has as on date <x> days and <x> hours vacation balance.,Leave,Luis
I don't want to approve anyone's leave who already has negative leave balance.Can you share my team's leave balance,Yes;I can provide you the dataCan you provide the <FullName> details for your direct reportees?<FullName> has as on date <x> days and <x> hours vacation balance.,Leave,Luis
Who is the approver of adoption leave?  ,All leave requests; including Adoption leave;  need to be discussed and formally approved by your immediate supervisor; and the request needs to be sent at least 30 days in advance in writing . Do keep your People advisor informed as well and specify leave start and end dates. You will be required to provide the following documentation as well while requesting for this leave - 1. A valid adoption deed and/or; 2. A court order granting guardianship and / or;3. A copy of the guarantee executed before the court and/or; 4. Any other valid document verifying the legal adoption or ward arrangement before the commencement of leave,Leave,Luis
Will I get paid during adoption leave period,You; as the primary caregiver; will continue to get 100% of your current monthly salary - during the 22 week period of adoption or ward leave. If you request for any additional or extended leave beyond these 22 weeks; that extended period will be on loss of pay. For more details you can also refer to Other Approved Absence Policy 0595.,Leave,Luis
How to apply Bereavement Leave?,All employees are eligible to avail 3 continuous working days of Bereavement leave in the event of death of a close family member (close family members would include spouse; children; parents; grandparents; brother; sister and corresponding in-laws). To avail bereavement leave you should intimate your immediate supervisor and People Advisor before the next working day and the leaves availed should be charged against “Bereavement Leave” in MyTE.  To know further you can also refer to Other approved absence India Policy 0595.,Leave,Luis
Who can avail Bereavement leave?,All employees are eligible to avail 3 continuous working days of Bereavement leave in the event of death of a close family member (close family members would include spouse; children; parents; grandparents; brother; sister and corresponding in-laws). You can also refer  to Other approved absence India Policy 0595 for more details.,Leave,Luis
How can I avail compensatory leave?,If you have worked for 9 hours on a weekly off / fixed holiday due to business requirements; you are eligible to avail a Compensatory off. You are required to charge the worked day to your project WBS. Here are a few key points that you should remember while availing this leave - 1. You should avail your Compensatory off within 6 weeks from the original day off and on a day that is mutually agreed between you and your supervisor. 2. Compensatory off availed should be charged against “Compensatory off” in MyTE. 3. Compensatory offs cannot be accumulated and/or carried forward to the next financial year.,Leave,Luis
What is the time frame to avail compensatory off?,You should avail your Compensatory off within 6 weeks from the holiday date. Compensatory offs cannot be accumulated and/or carried forward to the next financial year.,Leave,Luis
What is Contingency Leave?,In unforeseen circumstances like natural disasters; civil unrest and riots; the Company may announce paid time off called Contingency leave - in consultation with the Global Asset Protection team.  Contingency leave availed; should be charged against “Contingency Leave” in MyTE,Leave,Luis
How to raise a Leave of Absence Request?,Here is how you can raise a Leave of Absence (LoA) request: 1. Log on to https://ast.accenture.com/atlas2. Click on 'New Request' tab > Select 'Leave of Absence Request' option > Select the appropriate reasons to raise the LOA request from the drop down list that appears.3. Fill in all the other details as per the request form on the tool.4. Submit the request - don't forget to check if your supervisor is correctly mapped on the tool before submitting.,Leave,Luis
What employee benefits am I eligible for during LOA,Employees will not accrue vacation or compensation-related benefits while on unpaid LoA. Company's insurance will continue throughout your unpaid leave of absence. Only for Paid LOA like Maternity leave/ Adoption Leave/ MTP/Surrogacy; vacation will be accumulated during the leave period. ,Leave,Luis
How can I apply for Maternity leave?,The Maternity leave request needs to be raised on the Atlas Service Tool (AST). Follow the below steps to raise it: 1. Log on to AST - https://ast.accenture.com/atlas2. Click on 'New Request' tab > Select 'Leave of Absence Request' option and sub-option 'Reason-Maternity'3. Your Supervisor and the LOA Case Manager will receive this request and would need to approve your Maternity leave. Here are some other points for your quick reference  - Under maternity benefits you are entitled to take 22 consecutive weeks of paid leave. Your maternity leave start date should not be more than 6 weeks before your expected delivery date. Maternity leave start date cannot exceed the date of delivery.,Leave,Luis
Can you please tell me about the recent changes to the Maternity Leave policy?,As part of an ongoing focus to support gender diversity and working parents with industry-leading initiatives; Accenture have increased its maternity leave benefits to its full-time and part-time women employees in India; to 22 weeks of paid leave from the current 12 Weeks. Here are the key highlights of the changes for your reference; do read through the Other Approved Absence Policy 0595 for more details on this at https://Policies.accenture.com1. Employees are also entitled to additional maternity benefit of one month paid leave in case of illness directly related to pregnancy. 2. Employees who require additional maternity leave beyond the maternity leave and do not have vacation balance can avail unpaid leave for a further three months. The request for availing the said unpaid leave can be initiated in advance at https://ast.accenture.com.3. In case of adoption; Accenture offers a full time employee up to eight weeks of fully paid parental leave for primary caregivers of the adopted child. ,Leave,Luis
